Code,Title,Description,Source
ward,Ward,Ward Subdivision,https://en.wikipedia.org/wiki/Ward_(electoral_subdivision)
subcounty,Subcounty,Subcounty Subdivision,https://en.wikipedia.org/wiki/Subdivisions_of_Kenya
